Time,M0,M1,M2,M3,M4,M5,M6,M7
2.029538889,0.022277172,-0.027282719,0.059518418,0.677323739,-0.029332652,0.035106578,0.013561331,0.02612892
2.05735,0.07555539,-0.014081827,0.09883774,-0.025336047,-0.021335809,0.14187123,0.01446402,0.008206931
2.085152778,-0.001178078,-0.074169776,0.107569272,-0.017914784,-0.007965638,0.119039835,0.031418737,0.010916006
2.112961111,0.003764245,-0.054434782,0.035324088,-0.095545727,-0.050384099,0.071939585,0.014307842,0.013888618
2.140752778,0.035471593,-0.060886721,0.075813422,-0.059977017,-0.056221523,0.030942793,0.012713337,0.076684501
2.168558333,0.071086591,-0.063225191,0.050279318,-0.069024621,-0.032353773,0.105240636,0.00622995,0.000861497
2.196347222,0.080180398,-0.066951498,0.081233782,-0.067761043,-0.029895984,0.061846686,0.017664178,0.040624742
2.22415,0.025761568,-0.041748086,0.076227805,-0.032887579,-0.030218748,0.061912828,0.021787774,0.013515532
2.251936111,0.033193528,-0.049484124,0.06185429,-0.077896179,-0.038759835,0.006428708,0.018825312,-0.033592508
2.279725,0.059462434,-0.063032213,0.077876736,-0.011885273,-0.025292465,0.039525353,0.015904713,0.021201095
2.307516667,0.093473161,-0.085862929,0.059453913,-0.027106368,-0.017738538,0.108440833,0.020990556,0.063880621
2.335325,0.058027259,-0.189755484,0.033427654,-0.08420564,-0.091510955,0.087207245,0.063550236,0.009513828
2.363133333,-0.017526056,0.027447797,0.069942019,-0.106268575,0.039069292,0.132447985,0.751793867,1.108907009
2.390930556,-0.024130338,0.006346773,0.067842802,-0.124057678,0.007344557,0.072041833,0.085389776,0.026771243
2.418719444,0.112769688,-0.084316642,0.077538198,-0.109544336,0.08561364,0.094848526,0.050678304,0.01696809
2.446527778,0.010423753,-0.016037903,0.113988291,-0.047172689,-0.01407165,0.147860316,0.059956568,-0.002863742
2.474338889,0.054318508,-0.091804589,0.034977341,-0.066676399,-0.021885146,0.083895019,0.055887976,9.87193E-05
2.502130556,0.08113794,-0.100227285,0.133664052,-0.054634549,-0.011214334,0.153606874,0.049930348,-0.016724797
2.529933333,0.054543805,-0.073481645,0.069148995,-0.019853881,-0.004207937,0.138265682,0.070529262,0.009047713
2.557722222,0.056643091,-0.111250609,0.044644237,-0.054701814,-0.010414838,0.112627258,0.073478532,0.01199115
2.585530556,0.067111658,-0.077972282,0.06867576,-0.049251771,-0.008050675,0.053889588,0.067231414,0.047110674
