Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,M0-2,M1-2,M2-2,M3-2,M4-2,M5-2,M6-2,M7-2
1.417827778,0.109827812,0.030979048,0.089074525,-0.002900208,0.035451576,0.143594597,0.141253591,0.018943952,0.040406684,-0.026929782,0.090292139,-0.052788864,0.007839728,0.137667807,0.136633079,0.042798714
1.445622222,0.117575954,0.011689801,0.087542295,0.019394575,0.033701652,0.136414012,0.127193133,0.150471177,-0.013654616,-0.068065053,0.091573535,0.03852717,0.025571733,0.21029246,0.117771505,0.05540387
1.473430556,0.140407087,-0.038218755,0.13626997,-0.003435968,0.036126553,0.141309367,0.140459448,0.085867183,0.013380804,-0.06110121,0.072353562,-0.009460964,0.006673547,0.198721294,0.122715325,-0.004817803
1.501222222,0.108497127,-0.020747262,0.160623126,-0.039244488,-0.010914103,0.135703259,0.146082649,0.134190632,-0.020228912,-0.081095268,0.067548449,-0.022715013,0.017434313,0.204247312,0.124816913,0.074164135
1.529016667,0.11255987,0.015502943,0.142210411,0.032406852,0.00688207,0.139156814,0.136119842,0.049762277,0.001552701,-0.092810838,0.076712117,-0.024028636,0.027738583,0.16638574,0.126898707,0.071644148
1.556825,0.109814501,-0.021840891,0.097519515,0.035399898,0.048429883,0.139049256,0.136112642,0.017456861,-0.004224902,-0.048218398,0.076519615,-0.011040538,0.049944447,0.094917181,0.135075343,0.067308682
1.584627778,0.147811405,-0.037533918,0.097122695,0.03838293,0.019344706,0.1336744,0.135672708,0.084505007,0.017365042,-0.06408063,0.075610256,-0.05017979,-0.032914966,0.116689278,0.107050038,0.061742348
1.612438889,0.149826816,-0.019883893,0.138980744,-0.01226529,0.030462365,0.138905345,0.142328441,0.104674107,-0.006528361,0.004105112,0.093908022,0.000724874,-0.005100011,0.182779742,0.106736338,0.066585898
1.640241667,0.103563995,-0.018203869,0.132080564,-0.032232533,-0.005005872,0.152688331,0.143737035,0.021244506,-0.031494208,-0.095604122,0.101302739,0.03321428,-0.007908752,0.204332306,0.104284837,0.036045244
1.668047222,0.163870989,-0.048393306,0.119495798,-0.00136623,0.014242945,0.149247441,0.141289926,0.036748055,0.010916312,-0.002959153,0.105297402,-0.038710319,-0.012514784,0.087808132,0.121484485,0.025318259
1.69585,0.156837953,-0.016794347,0.133100641,-0.022920079,0.034042469,0.155308249,0.14077978,0.080534631,-0.010528834,-0.055761452,0.105407438,0.039455712,0.019710386,0.136521512,0.10414228,0.038699344
1.723641667,0.151342249,-0.022443657,0.161226487,-0.027314824,0.00910692,0.153779509,0.141339029,0.106189417,0.006778557,-0.099710927,0.098322827,0.039325828,0.019332001,0.196316117,0.099785884,0.03393552
1.751447222,0.127433576,0.00084376,0.158234644,-0.009113583,0.014528918,0.122679819,0.148093804,-0.018360371,-0.005783354,-0.073779116,0.093178921,-0.112816259,0.02691055,0.172907163,0.116269746,0.065231947
1.779258333,0.156034676,-0.07912878,0.133267573,0.013769963,-0.011380979,0.149896593,0.133112654,0.133343291,-0.017435864,-0.102312472,0.109493736,-0.017760769,0.017219404,0.124125447,0.099122173,0.049966573
1.80705,0.165796843,-0.033184345,0.263146928,0.007883898,0.054603442,0.145153329,0.134996658,0.118657256,-0.008381849,-0.073824323,0.090894551,0.248905831,-0.001814799,0.132023522,0.119250118,0.045691383
1.834844444,0.134595505,-0.060063102,0.052569056,0.013230536,0.033650042,0.144881443,0.141217367,0.088301091,-0.013372221,-0.084170073,0.080403705,0.134837733,-0.041978768,0.129414432,0.132091051,0.067099485
1.862644444,0.138351412,-0.048006374,0.053401019,-0.041689292,0.007595901,0.143673931,0.142339094,0.066048657,0.025798902,-0.052303412,0.090252153,0.064125557,0.002327951,0.126737243,0.085784015,0.053799148
1.89045,0.146404081,-0.050849209,0.040041884,0.004303152,0.073683168,0.149629753,0.137310753,0.10758289,-0.008452924,-0.122683809,0.098196301,-0.041748153,0.010547213,0.170579554,0.123977625,0.043161358
1.918258333,0.133308228,-0.117066144,0.119589,-0.013847648,0.011470392,0.148981825,0.141142795,0.060299678,0.073587664,-0.057261292,0.081223684,-0.05384183,0.027865621,0.161911157,0.088187595,0.060980692
1.946055556,0.130085453,-0.059540018,0.117547639,-0.036072084,0.027994992,0.147651207,0.152493028,0.051633336,0.02814317,-0.054859039,0.077074501,-0.029495486,-0.016048337,0.122108144,0.113468487,0.044095417
1.973855556,0.13246267,-0.051820046,0.121119768,-0.064697185,0.024501017,0.122209469,0.131972075,0.156891408,0.053932889,-0.053968185,0.076166927,0.013822056,0.010033496,0.165627777,0.094136198,0.045432319
2.001647222,0.137015647,-0.047911691,0.119246984,-0.013928324,-0.009833858,0.144367436,0.139330525,0.085745282,0.009903938,-0.069781608,0.066370694,0.000913635,0.012179201,0.085883641,0.142674766,0.053908937
2.02945,0.140379521,-0.005260022,0.120892139,-0.057380714,0.027355655,0.139322672,0.134538892,0.087634576,0.010875293,-0.090242205,0.086811989,-0.059055658,-0.003746753,0.097190294,0.093372442,0.041934981
2.057244444,0.173860617,-0.049652325,0.212836172,0.010997415,0.033691504,0.135298051,0.142699472,0.098364877,-0.012251925,0.005955094,0.078619164,0.001444417,-0.00587544,0.15968022,0.130758605,0.057680543
2.085041667,0.146391156,-0.07292836,0.138045837,0.002722774,0.050989302,0.147502171,0.14997138,0.026579912,0.015031931,-0.026755778,0.08090969,0.000287772,0.008841645,0.154228279,0.149014834,0.040615467
2.112847222,0.147413961,-0.025060342,0.112064105,-0.070534173,0.040405171,0.149189312,0.144229196,0.101632053,0.004238444,-0.059592404,0.10171557,0.017679815,0.018687195,0.192168074,0.112869623,0.052996977
2.140633333,0.168012882,-0.03762378,0.132144645,0.000531202,0.052681357,0.129614623,0.144720624,0.115378912,0.017812282,-0.073914675,0.085048108,0.054509438,0.018222175,0.159222488,0.099713285,0.049685194
2.168444444,0.13962286,0.002051606,0.105693715,0.008162422,0.060539548,0.152127556,0.144676447,0.091118486,0.071593005,-0.045440139,0.089156068,0.010475565,0.001955803,0.067648219,0.164775888,0.068939637
2.196233333,0.132261503,-0.034837762,0.08829466,-0.012774908,0.001169407,0.134535114,0.131453907,0.100002129,-0.013801579,-0.074979885,0.108410119,-0.174901357,-0.01061664,0.226429064,0.116037039,0.046303733
2.224044444,0.151167999,-0.011243324,0.098573195,-0.015513891,0.014939955,0.140343807,0.135713229,0.007860244,-0.01561848,-0.021934426,0.087635655,0.01819515,0.02049108,0.148142785,0.109250723,0.048853013
2.25185,0.139755953,-0.074081541,0.012557704,0.035722964,0.035226991,0.133224425,0.138051197,0.067730318,0.018092899,-0.018445292,0.089983561,-0.006606329,0.038899773,-0.027814284,0.112803092,0.054830356
2.279636111,0.163861296,-0.037445211,0.128403766,-0.05920502,0.052272019,0.12442647,0.145476173,0.049479226,0.013445082,-0.027399073,0.093682441,-0.049302435,0.00704358,0.024858777,0.117303004,0.057471223
2.307438889,0.141421866,-0.041758132,0.336992816,0.011922957,0.014563695,0.142447479,0.14352197,0.090484248,0.034449663,-0.091607616,0.095110181,0.0096199,0.015980463,0.23859257,0.135815897,0.063209156
2.335244444,0.188869969,-0.050996688,0.147933644,0.018292171,0.048745055,0.140510417,0.136301388,0.123690596,0.001574117,-0.095674131,0.091257914,-0.00367896,0.010396402,0.243148748,0.117286769,0.050625308
2.36305,0.182703038,-0.050561852,0.111432255,0.009020703,0.039232954,0.127857924,0.14608065,0.052954939,-0.000161674,-0.03715353,0.065830966,-0.013693629,0.031016242,0.192299093,0.111018362,0.045269387
2.390858333,0.186485228,-0.011876899,0.123206011,-0.006562539,0.024359881,0.136016235,0.141110627,0.090213214,0.054947141,-0.093700506,0.100892403,-0.049877687,-0.001738023,0.192652752,0.108646865,0.06469838
2.418669444,0.147493457,-0.037417842,0.106791313,0.060452026,0.000896553,0.131901818,0.140920557,0.088016703,0.048054539,-0.067122259,0.079092727,-0.013384407,0.031307394,0.149015655,0.11693794,0.069531272
2.446463889,0.147447144,-0.060047682,0.020760358,-0.029796649,0.032710103,0.128377869,0.140675597,0.150161845,0.079691442,-0.020263063,0.075441321,0.039477913,0.019395005,0.136533894,0.1070556,0.040019762
2.474269444,0.154146579,-0.06019062,0.157801915,-0.015837138,0.055499859,0.141542531,0.14788995,0.049974007,0.070414316,-0.036872386,0.078352455,0.014295686,-0.040735132,0.173734988,0.113867071,0.071551644
2.502077778,0.148587268,-0.023320346,0.131769009,0.013910119,-0.010629969,0.152062603,0.143977289,0.097932564,0.00478807,-0.040065054,0.075256284,-0.000391832,-0.016212674,0.144012438,0.111017533,0.05252805
