Time,M0-1,M1-1,M2-1,M3-1,M4-1,M5-1,M6-1,M7-1,,,,
1.835005556,0.053828863,-0.123958815,0.105766844,-0.008500532,0.185759939,0.1271768,0.135944811,-0.013936907,,,,
1.862802778,0.061666966,0.099662811,0.096183631,-0.033395074,0.17051162,0.167121698,0.07008842,-0.019609832,,,,
1.890619444,0.044528912,-0.155310091,0.118106237,-0.053462567,0.173565412,0.160782193,0.107893444,0.274172476,,,,
1.918408333,0.025861079,-0.063449549,0.112661198,-0.077225013,0.187237292,0.139582973,0.11405239,0.043250725,,,,
1.946219444,0.021638137,0.194975066,0.110671701,-0.051616869,0.178069977,0.174187857,0.099922125,0.026557959,,,,
1.974030556,0.020177469,0.155439187,0.114648798,-0.035625261,0.168353436,0.18265564,0.085565045,-0.04081192,,,,
2.001830556,0.034283143,0.137839256,0.109838625,-0.022089271,0.173633313,0.176117635,0.097616014,0.041964726,,,,
2.029638889,0.034113131,0.085996445,0.110920495,-0.047131999,0.165747682,0.164664219,0.073971004,-0.002005252,,,,
2.05745,0.04224943,-0.019896426,0.10471071,-0.039726457,0.163641511,0.141592004,0.079931837,0.023417056,,,,
2.085261111,0.034136176,0.071565755,0.089744286,-0.015083131,0.163936604,0.181893007,0.068351389,0.040886523,,,,
2.113047222,0.029034612,0.224121675,0.106414824,0.051648336,0.175235815,0.155779508,0.076148442,0.05346956,,,,
2.140852778,0.007390676,0.184548841,0.092781704,-0.043810302,0.170402868,0.174131436,0.086824089,0.102847091,,,,
2.168661111,0.012848215,0.192765244,0.096215165,-0.00604047,0.152667954,0.18594501,0.075356538,0.079693382,,,,
2.19645,0.025154427,0.101121374,0.131061832,-0.040287886,0.1526226,0.126958152,0.103205881,0.099605048,,,,
2.224241667,0.030055108,0.101220637,0.145300054,-0.06360607,0.16203041,0.18195833,0.067731209,0.079985285,,,,
2.252038889,0.02769027,0.085096521,0.157206684,-0.082203676,0.161680126,0.179629661,0.089864137,0.082505046,,,,
2.279833333,0.042194805,0.026629641,0.102858654,-0.038566399,0.145497007,0.157581324,0.084512667,0.105280343,,,,
2.307619444,0.017396088,-0.053076329,0.093817433,-0.057402177,0.146949248,0.183109403,0.100940054,0.057174892,,,,
2.335430556,0.033814368,-0.096085692,0.088311999,-0.070068504,0.151001413,0.139956062,0.100399221,0.004072569,,,,
2.363230556,0.050589091,0.002157577,0.07939203,-0.052040936,0.144668984,0.145618877,0.079861677,0.105322487,,,,
2.391033333,0.022714298,-0.071830565,0.085814165,-0.033133834,0.147311658,0.178392097,0.079583224,-0.071796069,,,,
2.418844444,0.050929944,0.050322541,0.108073227,-0.035393118,0.137732228,0.186628191,0.086243248,-0.150123147,,,,
2.446652778,0.069613176,-0.028010067,0.135781992,-0.017781421,0.129036664,0.187136016,0.079444983,0.027231427,,,,
2.474461111,0.018169731,0.026893204,0.112014039,-0.056900042,0.133326384,0.184480829,0.087506852,6.42E-02,,,,
2.502272222,0.066383877,-0.099840275,0.138304764,-0.055834918,0.13182623,0.151320599,0.079283759,0.06019218,,,,
2.530072222,-0.031679601,-0.073260475,0.176434251,-0.077740902,0.143242973,0.172648486,0.104056693,0.105101037,,,,
2.557883333,0.059821628,-0.026657116,0.057057741,-0.044350095,0.140027555,0.179842683,0.087547738,-0.040995413,,,,
2.585686111,0.024045359,-0.023356635,0.145930451,-0.075123654,0.125138217,0.155887503,0.103972123,-0.011822239,,,,
2.613497222,-0.001387426,-0.062184817,0.14166619,-0.042200848,0.121515276,0.179476214,0.100692468,0.023947264,,,,
2.641305556,0.074532702,6.24877E-05,0.103000804,-0.02554206,0.132975016,0.166809751,0.10938089,0.020168151,,,,
2.669097222,0.004390842,-0.10036511,0.091160782,-0.045905432,0.133641683,0.18623227,0.091272408,0.071899263,,,,
2.6969,0.049199374,-0.113011388,0.106350533,-0.034747416,0.129146105,0.18934863,0.115618142,0.064672887,,,,
