Time,M0 - 31.5,M1 - 31.5,M2 - 31.5,M3 - 30C,M4 - 30C,M5 - 28.5C,M6 - 28.5C,M7 - 28.5C
5.365730556,0.019157767,0.028377988,0.07651156,0.060686443,0.083501899,0.040409761,0.008290735,-0.100737594
5.393538889,0.045009181,0.022949932,0.082263739,0.058863144,0.084413662,0.056233294,0.011251695,-0.106122421
5.421338889,0.041795522,0.025164817,0.107069637,0.051471181,0.083273787,0.038568725,0.021204057,-0.097510002
5.44915,0.030714203,0.023967266,0.075461551,0.054617316,0.078716787,0.0448287,0.030250705,-0.101621433
5.476938889,0.012581363,0.025255463,0.078541739,0.05006171,0.080085617,0.04886866,0.035491636,-0.097941389
5.50475,0.014001863,0.026700059,0.097435099,0.058435363,0.084632323,0.041905132,0.036902659,-0.10180509
5.532561111,0.039933533,0.022448695,0.080374193,0.051691435,0.084592114,0.041969078,0.038105609,-0.098874096
5.560372222,0.050205256,0.026388666,0.094765835,0.055084253,0.084393923,0.037206789,0.034790436,-0.072028337
5.588183333,0.044031451,0.031055425,0.066095301,0.06247086,0.087886773,0.044689341,0.033464113,-0.096210417
5.615986111,0.027716415,0.025470914,0.063471086,0.05373989,0.087410547,0.030648033,0.034241563,-0.08449685
5.643797222,0.04143102,0.027229196,0.084898802,0.056196113,0.089826535,0.035868968,0.046189439,-0.099985335
5.671605556,0.057353859,0.028564515,0.061266674,0.057305767,0.094543391,0.042824476,0.040914137,-0.092704564
5.699416667,0.029246656,0.025881775,0.05182341,0.052019362,0.088436132,0.042700492,0.043898522,-0.100071654
5.727219444,0.036862598,0.029126327,0.106389722,0.061966009,0.091846254,0.044677447,0.045924135,-0.101767186
5.755030556,0.058603203,0.02642568,0.100938258,0.058288757,0.088405194,0.03847397,0.047733638,-0.100804408
5.782822222,0.052372021,0.028396838,0.061875803,0.061409992,0.093355248,0.047020234,0.043156908,-0.088252765
5.810627778,0.045834825,0.033044603,0.080785295,0.056241089,0.091736693,0.041366477,0.051800334,-0.098312024
5.838416667,0.077385516,0.032245373,0.065120905,0.056029002,0.095752009,0.043691168,0.059727846,-0.086412556
5.866227778,0.048163404,0.032062201,0.080348629,0.065347973,0.091319348,0.044267182,0.054236792,-0.096718031
5.894036111,0.039512446,0.032345523,0.074895532,0.061568739,0.09598577,0.051340217,0.065034638,-0.084209675
5.921847222,0.029934538,0.031238611,0.067092718,0.059269589,0.093146426,0.047678322,0.064985406,-0.088220396
5.949638889,0.042148254,0.037220489,0.078948998,0.058092192,0.093405737,0.048984091,0.068421616,-0.085230261
5.977430556,0.029731301,0.034876963,0.022936072,0.064969939,0.089719174,0.048774344,0.069990541,-0.08629671
6.005241667,0.022910337,0.032163766,0.028634196,0.06108609,0.095311872,0.047945935,0.073697773,-0.0800148
6.033044444,0.05837188,0.029497824,0.099760385,0.064582562,0.093526227,0.05021954,0.080538481,-0.076602779
6.060838889,0.043358603,0.034932585,0.069708768,0.068982178,0.09629355,0.052694411,0.080560294,-0.083215625
6.088641667,0.030844578,0.034315241,0.094817043,0.072371622,0.099303524,0.056048491,0.082951443,-0.086258346
6.116447222,0.060818089,0.035834818,0.068210946,0.071844901,0.099584137,0.054098104,0.086952021,-0.071001951
6.144244444,0.088324732,0.031566515,0.064184753,0.067489017,0.098110138,0.053493312,0.08413409,-0.066254613
6.172047222,0.050062116,0.03712675,0.02930452,0.072110487,0.0959664,0.064635752,0.084829898,-0.054112274
6.19985,0.047886662,0.035351314,0.041231404,0.066360513,0.098419131,0.059776513,0.083559479,-0.062208107
6.227655556,0.071110904,0.035830138,0.06846851,0.071175872,0.10324936,0.056698152,0.089365756,-0.062245945
6.255466667,0.068211389,0.033895389,0.074215505,0.067206242,0.099916975,0.061943437,0.084954259,-0.07211472
6.283277778,0.021609855,0.037742774,0.085572426,0.078030225,0.096842027,0.067932601,0.092357168,-0.069614912
6.311072222,0.027968527,0.034107969,0.101553235,0.076778724,0.09830405,0.06387152,0.090596554,-0.073390764
6.338880556,0.026755971,0.036647684,0.073736731,0.072456767,0.102032852,0.067270362,0.098955387,-0.058749091
6.366669444,0.026618736,0.03577902,0.045895713,0.067512477,0.104080556,0.064204265,0.102505968,-0.063930858
6.394466667,0.051177677,0.034980244,0.056018926,0.075313824,0.104572637,0.07063075,0.099170356,-0.054545828
6.422269444,0.077877388,0.037164009,0.121197878,0.075453771,0.105641237,0.074474022,0.107594823,-0.053558066
6.450080556,0.085557101,0.038485519,0.104587692,0.080215558,0.108615609,0.072353868,0.103890853,-0.04956593
6.477888889,0.053347835,0.040291851,0.110899217,0.0728552,0.102775212,0.075781358,0.104063012,-0.049575265
6.505683333,0.04735416,0.039135936,0.107525017,0.078005063,0.107397201,0.075067596,0.111825552,-0.049243568
