Time,M0 - SGy104-1 - 1%,M1 - SGy104-5 - 1%,M2 - SGy104-4 - 3%,M3 - SGy104-5 - 3%,M4 - SGy104-4 - 6%,M5 - SGy104-5 - 6%,M6 - SGy104-4 - 10%,M7 - SGy104-5 - 10%
1.834897222,-0.022108868,0.078743656,0.037272522,0.056180909,0.087142597,0.068489579,0.049872133,-0.056469677
1.862708333,-0.012633494,0.018850186,0.025438918,0.064175614,0.096963018,0.075433093,0.059700194,-0.063787687
1.890519444,0.013573788,-0.012546569,0.029101164,0.061023204,0.088981969,0.077877344,0.047280962,-0.072745893
1.918319444,-0.015710252,-0.005766819,0.030107465,0.066311481,0.105431301,0.090320676,0.078961268,-0.075109311
1.946130556,-0.038070426,0.030619537,0.03254267,0.059536931,0.10130463,0.076253915,0.047121838,-0.072970526
1.973938889,-0.008382649,0.068289445,0.04263464,0.061076801,0.093937535,0.099601404,0.032116982,-0.07220557
2.001727778,0.018306655,-0.018478183,0.048764736,0.059240079,0.101948641,0.101480791,0.045521338,-0.070294075
2.029525,-0.013570077,0.002181874,0.055300949,0.063426089,0.104787392,0.074341061,0.058982627,-0.063916811
2.057311111,-0.003129738,-0.018840004,0.037034658,0.061781189,0.094557393,0.103584386,0.073425746,-0.069157742
2.085122222,-0.024011875,0.038957816,0.050565816,0.060912076,0.102341147,0.108109189,0.112253438,-0.069039511
2.112925,-0.111554123,0.015625174,0.042102142,0.060682472,0.106014067,0.099836226,-0.007122756,-0.090247689
2.140733333,0.003282119,0.051148783,0.049457446,0.059062131,0.096788144,0.10882601,0.027156789,-0.034008078
2.168544444,-0.018970335,0.048501589,0.051042636,0.058529066,0.091317709,0.112007577,0.020219718,-0.056815826
2.196338889,0.013720167,0.054272314,0.058647701,0.060356683,0.104961032,0.105919871,0.016704388,-0.066162028
2.224127778,0.008498982,0.059348178,0.049098896,0.062299873,0.091046885,0.110721674,0.059190201,-0.054110845
2.251919444,0.010182186,0.054686263,0.041308925,0.062414424,0.100689055,0.101387057,0.044667785,-0.063848352
2.279719444,-0.037887815,0.035325577,0.045068271,0.063151089,0.11222466,0.111421533,0.02572369,-0.04012612
2.307505556,-0.036640645,-0.045839652,0.055740532,0.059916301,0.134336259,0.080586565,0.049066631,-0.039024885
2.335316667,0.022933884,-0.041095108,0.050057306,0.061818452,0.089979123,0.073245654,0.068159221,-0.043509802
2.363127778,-0.030376585,-0.050155319,0.057705241,0.060066925,0.102512856,0.061541706,0.022586195,-0.089604408
2.390936111,0.001694928,-0.041415747,0.054849839,0.063210981,0.129680171,0.058346896,0.009922702,-0.092925272
2.41875,-0.015662604,-0.025224291,0.056576281,0.061986371,0.101495891,0.069318806,0.071966845,-0.032630578
2.446536111,-0.130480419,-0.015911466,0.058961167,0.063544647,0.112531905,0.085338227,0.041830001,-0.067899487
2.474341667,-2.51839E-05,-0.021946075,0.041734461,0.067899234,0.097435926,0.1099286,-0.022835982,-0.032204055
2.50215,0.004973444,-0.002016031,0.049492885,0.066984656,0.104249131,0.107033457,0.056636749,-0.061957335
2.529944444,0.067642329,-5.01E-03,0.049730845,0.06328582,0.098580044,0.124640275,0.066023381,-0.068900225
2.557747222,-0.00700955,-0.020828488,0.05060071,0.062524143,0.100227891,0.115758916,0.041205697,-0.063666838
2.585555556,-0.004104013,-0.008826383,0.054391777,0.063747796,0.215852192,0.131074864,0.021656035,-0.063606257
2.613366667,-0.042699637,-0.030375568,0.05352205,0.066651996,0.20594713,0.114285829,0.081202406,-0.060352849
2.641175,0.039665863,-0.008985744,0.060722388,0.0675739,0.188442786,0.10122181,0.047723045,-0.052079653
2.668983333,0.01109513,-0.045340728,0.060700761,0.064404738,0.190862527,0.078197818,0.044124054,-0.049894444
2.696775,-0.017875559,-0.004466736,0.064864771,0.067083087,0.194868817,0.08675396,0.039026533,-0.061718419
2.724563889,0.03131603,0.00162999,0.056045099,0.066059438,0.19860481,0.106896685,0.06444852,-0.029164967
2.75235,0.003654293,-0.000918568,0.066675709,0.066398294,0.196296382,0.124597193,0.060207672,-0.041586121
2.780161111,-0.038328487,0.009599799,0.063610215,0.067257237,0.192893564,0.125176958,0.040480906,-0.066441858
2.807963889,0.001191937,0.008194747,0.065890977,0.066922744,0.169557961,0.109454498,0.041643968,-0.062188025
2.835758333,0.006850958,-0.001581934,0.065053962,0.069969464,0.160667044,0.114001599,0.061020892,-0.035826626
2.863561111,-0.011710695,0.00411224,0.065036055,0.066062936,0.156553524,0.120772152,0.079079474,-0.056273579
2.891361111,0.01689864,0.008357456,0.051200183,0.06804557,0.164747852,0.156948354,0.044543406,-0.056533726
2.919152778,-0.032605169,0.005313465,0.068114605,0.06917403,0.156303133,0.167084706,0.043601459,-0.060249354
2.946944444,0.020089031,0.017111114,0.06343719,0.071797584,0.204023406,0.151581702,0.026926578,-0.065093015
2.974755556,0.0353973,0.008088438,0.054508322,0.070462945,0.186407853,0.164754814,0.063562049,-0.059403954
3.002563889,0.038605477,0.007683343,0.056493144,0.070438494,0.17454599,0.108898248,0.071806025,-0.064025384
