Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1%,M4-1 - 3%,M5-1 - 3%,M6-1 - 10%,M7-1 - 10%,M0 - 3%,M1 - 3%,M2 - 6%,M3 - 6%,M4 - 8%,M5 - 8%,M6 - 10%,M7 - 10%
16.20857778,0.254255193,0.124417677,0.359290389,0.341610196,0.548277317,0.473569383,0.278969511,0.217420074,0.687218273,0.562827702,1.40851669,1.696124105,1.815243585,1.959701664,1.896557626,2.524556149
16.23638056,0.258788626,0.142322771,0.360072895,0.349225719,0.550452411,0.468491356,0.276263417,0.212162663,0.693381043,0.559895602,1.422568396,1.728109642,1.839036376,1.976647353,1.899183923,2.553583136
16.26418056,0.25313956,0.153429731,0.353982345,0.352593862,0.548456557,0.472418298,0.275457851,0.229619067,0.703289482,0.566107446,1.435735965,1.74550925,1.847757403,2.001382336,1.934159701,2.563068665
16.29198056,0.245365098,0.161257662,0.365983528,0.351756451,0.553434523,0.478098654,0.278246858,0.206734001,0.70511742,0.567160289,1.441555154,1.738242998,1.870897497,2.011831913,1.947841676,2.606462801
16.31979167,0.24737207,0.142938347,0.359338804,0.358281695,0.556372485,0.472276653,0.300665818,0.233874717,0.704679981,0.568719921,1.455504882,1.763922529,1.885216339,2.040150893,1.950311258,2.645045561
16.34759167,0.260494434,0.129146159,0.352097567,0.350267906,0.554525408,0.477093554,0.311897774,0.214468565,0.705296691,0.567228114,1.463943888,1.777375657,1.898580492,2.049935206,1.969807462,2.660377611
16.37538056,0.252649197,0.14656615,0.355387755,0.34959218,0.559543639,0.47931977,0.305946736,0.207605982,0.710981398,0.571034544,1.463526082,1.777791557,1.918855654,2.074588166,1.974622341,2.652619735
16.40319722,0.258876279,0.2221007,0.356127295,0.346932076,0.565054593,0.483808506,0.285820169,0.238365095,0.710004114,0.568274787,1.487397078,1.809864638,1.935948362,2.090857415,2.002261196,2.707590451
16.43098333,0.259480133,0.18881727,0.362771714,0.361265952,0.565483469,0.478819658,0.287174489,0.212435507,0.710014289,0.577365595,1.49330188,1.810249347,1.943029572,2.115234002,2.01473009,2.737267232
16.45879444,0.263881828,0.122532257,0.356638369,0.354797726,0.563941606,0.47989458,0.284421277,0.231619788,0.716399865,0.578086058,1.50414178,1.830822342,1.961666913,2.122202577,2.043724932,2.748803458
16.48660278,0.246969907,0.147772686,0.347584789,0.355329595,0.567590783,0.48195457,0.293960155,0.251054781,0.723716504,0.57958169,1.513246393,1.832092711,1.976287479,2.128912166,2.048524849,2.775459708
16.51440833,0.262362993,0.219769854,0.361073056,0.358928309,0.574616004,0.487194413,0.293516691,0.220836023,0.728306639,0.583409012,1.521641849,1.854539928,1.991604157,2.1447934,2.063203021,2.818462587
16.5422,0.246659237,0.199373787,0.357994476,0.356533694,0.575718795,0.488366781,0.307786351,0.221181304,0.72313599,0.583812072,1.535355941,1.8787416,2.02603413,2.18023632,2.090064158,2.830073967
16.57000833,0.221584071,0.192217685,0.356734825,0.361505355,0.583783127,0.492191126,0.293151028,0.220199301,0.733311514,0.589304713,1.550122594,1.883196151,2.026001554,2.186046981,2.110233942,2.881760242
16.59782222,0.235529247,0.160188605,0.368341563,0.357704966,0.582395304,0.493666912,0.304179254,0.250815924,0.742694593,0.590940869,1.560985178,1.898828215,2.050089949,2.20079276,2.121556104,2.889535316
16.62561667,0.261710378,0.170995829,0.365858278,0.373254114,0.58453288,0.493747628,0.309152146,0.299334833,0.732286854,0.592274359,1.565557795,1.909089802,2.066615732,2.217798879,2.136799178,2.917292586
16.65341111,0.243611485,0.151570899,0.364084832,0.359807056,0.583923205,0.49565239,0.30931199,0.238363126,0.739091874,0.596012285,1.5815081,1.919485898,2.096801527,2.248179646,2.160814531,2.943614342
16.68121944,0.26590811,0.18011777,0.362324804,0.355823881,0.584867384,0.496392895,0.302479199,0.235002591,0.743079308,0.6030649,1.596165372,1.927121494,2.095093796,2.27313182,2.192414737,2.999813651
16.70901111,0.259459178,0.167930147,0.369698992,0.355471946,0.589289539,0.500378159,0.310727254,0.219067434,0.744784709,0.604605117,1.593784808,1.946546726,2.12030507,2.297240568,2.201076231,3.026702064
16.73680278,0.230892602,0.192274706,0.370509688,0.370004928,0.586973887,0.498178017,0.304433048,0.241444316,0.743544744,0.601890115,1.619797571,1.972929817,2.152104682,2.324799057,2.224572889,3.046120307
16.76461667,0.259608189,0.158074655,0.367840528,0.369442955,0.594367284,0.505767817,0.319839211,0.230414437,0.74823719,0.605693103,1.631221743,1.994048158,2.146901524,2.328112496,2.244603835,3.060081539
16.79242778,0.252243725,0.160283747,0.371235605,0.368905528,0.595081269,0.50569937,0.325408892,0.248253318,0.752218181,0.607887438,1.640795375,2.00634333,2.174429238,2.359748524,2.252428759,3.090320936
16.82021944,0.256484044,0.137249274,0.372805409,0.375456658,0.598270423,0.508220542,0.318116885,0.224994915,0.749731127,0.609242639,1.638307516,2.014269038,2.210005001,2.38338085,2.26499679,3.120429968
16.84801944,0.267062522,0.163223202,0.364330654,0.367314171,0.599899434,0.508484547,0.320175275,0.224450549,0.748743403,0.612690331,1.662397493,2.027627183,2.207636841,2.402251781,2.285820058,3.148782446
16.87582778,0.24741327,0.174209777,0.36323992,0.377840303,0.597436887,0.507845885,0.3123813,0.246420944,0.755189519,0.618870421,1.668419656,2.046139198,2.266136487,2.431162027,2.3064271,3.192635716
16.90363889,0.241835993,0.157203949,0.378942228,0.373281833,0.599317947,0.509702847,0.323333563,0.219026976,0.762092049,0.617084496,1.696193076,2.061198786,2.242029085,2.471633532,2.327187582,3.233518779
16.93144722,0.259852326,0.189599367,0.376095115,0.392146785,0.604458575,0.514257202,0.316474604,0.254533813,0.766025466,0.62190865,1.694605004,2.088946571,2.269494719,2.474923469,2.346421782,3.249989874
16.95924167,0.245394882,0.13634614,0.377875975,0.374037421,0.605465219,0.512730359,0.318405488,0.289771607,0.766979226,0.627371297,1.71073215,2.10042764,2.290722041,2.51803486,2.358999468,3.275695487
16.98703333,0.262117971,0.14152159,0.387595275,0.372357676,0.606957322,0.514960353,0.331450286,0.242541066,0.768759862,0.626591654,1.725798767,2.119523608,2.319296773,2.531477007,2.400808115,3.320714066
17.01484444,0.247785883,0.19892692,0.379970627,0.38872525,0.611552936,0.520220486,0.340597675,0.28799906,0.778056906,0.626704861,1.7325149,2.136389556,2.323659258,2.542116098,2.402780518,3.342672532
17.04265278,0.241957155,0.155861066,0.377776534,0.383730085,0.613721861,0.520944263,0.321102251,0.269062378,0.776785078,0.635232466,1.750194527,2.167410779,2.335967962,2.585779517,2.438523243,3.379245819
17.07046111,0.239622601,0.168579508,0.377213223,0.387448357,0.614014739,0.520605858,0.3417693,0.258158471,0.779744787,0.632891123,1.763044861,2.151150665,2.388150946,2.593205309,2.454564765,3.4013832
17.09825556,0.25465843,0.177531178,0.367999638,0.397137587,0.615631842,0.523805662,0.327214776,0.278586311,0.788519648,0.635298001,1.769118852,2.173659696,2.402776418,2.62992769,2.484414061,3.441076219
17.12606389,0.255444899,0.176929695,0.37765048,0.375282186,0.618501211,0.526355941,0.336391771,0.235594768,0.785919208,0.641171347,1.791158549,2.18571082,2.431513203,2.68008489,2.495491211,3.466531564
17.153875,0.237987496,0.202071095,0.379009291,0.384716747,0.619425864,0.528195774,0.340047098,0.229517693,0.786981635,0.641563594,1.800652506,2.206807389,2.440689909,2.675204899,2.530574847,3.521818186
17.18166944,0.256888639,0.211854455,0.379720276,0.388815483,0.622142837,0.526598167,0.342281766,0.248016876,0.788000064,0.647031421,1.817434764,2.246646555,2.474475484,2.680718425,2.551559959,3.521831607
17.20946111,0.254751553,0.176178737,0.379901131,0.381899019,0.625481881,0.527963319,0.346123057,0.27799808,0.799462236,0.648715416,1.825983708,2.241504328,2.465936436,2.728425633,2.561917464,3.584563483
17.23727778,0.268609017,0.195153997,0.373896736,0.385586686,0.626175551,0.53318091,0.33329312,0.293974402,0.805741253,0.651987185,1.850521895,2.257608698,2.47593518,2.756821441,2.586668032,3.613308538
17.26508889,0.270682935,0.157153221,0.383909614,0.394679285,0.63176494,0.533512712,0.344379999,0.260974235,0.805550734,0.649966523,1.849662895,2.292549657,2.510502556,2.795295825,2.633352236,3.66022992
17.29288611,0.257307266,0.17064469,0.387597522,0.386148307,0.630469162,0.538328232,0.35299028,0.262575755,0.818265451,0.656356844,1.868106571,2.30775634,2.55214538,2.797393738,2.653926099,3.680795361
