Time,M0 - 1000,M1 - 1000,M2 - 2000,M3 - 2000,M4 - 3000,M5 - 3000,M6 - 4000,M7 - 4000
6.422480556,0.142251605,0.132387573,0.209370156,0.237070271,0.310752137,0.234200519,0.155689856,0.112069541
6.450269444,0.158587101,0.173514639,0.198139788,0.256228171,0.296789388,0.21913897,0.175967736,0.101559525
6.478055556,0.160175773,0.171095642,0.195652164,0.243600222,0.109915067,0.202031428,0.187747356,0.091377789
6.505855556,0.180951937,0.139671588,0.207081001,0.236258872,0.19115576,0.272452495,0.192944883,0.098535383
6.533652778,0.122515223,0.138280692,0.207142118,0.247259676,0.280817039,0.231045139,0.201655059,0.103299886
6.561463889,0.172459836,0.137184947,0.210696484,0.233719434,0.305485904,0.225600747,0.204111442,0.095639636
6.589255556,0.153159926,0.152075052,0.194824324,0.248206261,0.34769396,0.243157654,0.192300478,0.09079953
6.617055556,0.176244816,0.106508084,0.205913361,0.233617229,0.365045706,0.238101134,0.208858171,0.092553667
6.644852778,0.152982242,0.134970574,0.211503863,0.230985629,0.216929764,0.228939491,0.212284488,0.106877841
6.672658333,0.162447889,0.147476852,0.204980854,0.253740083,0.268925399,0.233486171,0.21534184,0.101205208
6.700466667,0.171444568,0.137491146,0.187596665,0.240289636,0.265767303,0.239790652,0.206454153,0.117912671
6.728258333,0.156760308,0.154955327,0.187929729,0.231332086,0.213541581,0.242599478,0.206257622,0.094159907
6.756069444,0.142271878,0.139801365,0.196057928,0.236056467,0.226258247,0.236625453,0.215338706,0.112521363
6.783861111,0.154169958,0.25443764,0.193802576,0.235720228,0.263670248,0.247379434,0.208559943,0.119888267
6.811658333,0.16646578,0.154509433,0.194406991,0.264560559,0.269176912,0.238757291,0.207491629,0.109638302
6.839461111,0.179122814,0.127526728,0.202804939,0.245796949,0.230732945,0.237287941,0.203304065,0.12333559
6.867272222,0.165038806,0.135205456,0.195713971,0.264190157,0.211056184,0.238887699,0.214426617,0.126946463
6.895080556,0.158733355,0.151710005,0.208714749,0.234303963,0.197797727,0.239330769,0.214011642,0.113648695
