Time,M0-1 - 0%,M1-1 - 0%,M2-1 - 1%,M3-1 - 1% ,M4-1 - 10%,M5-1 - 10%,M6-1 - 100%,M7-1 - 100%,M0-2 - 3%,M1-2 - 3%,M2-2 - 1%,M3-2 - 1%,M4-2 - 6%,M5-2 - 6%,M6-2 - 8%,M7-2 - 8%
1.807113889,0.045535615,-0.157759229,0.071498102,-0.024552388,0.059530083,0.095493052,0.067577181,0.087090297,0.020248043,-0.140011382,0.12683459,-0.03128724,0.155645257,0.22180206,0.117597026,0.052925356
1.834925,0.03815321,-0.153448373,0.083906747,-0.055564727,-0.071472611,0.088084345,0.09633196,-0.010467192,0.032199955,-0.059978469,0.114559321,0.018031205,0.125882378,0.12101127,0.113245452,0.052823807
1.862727778,0.059094696,-0.10224069,0.05093756,-0.020903612,-0.036262437,0.183175239,0.071131139,0.027933278,0.022058188,-0.135580865,0.082285038,-0.061643139,0.158610282,0.259644553,0.100562334,0.062857145
1.890527778,0.054393869,-0.140565889,0.085168542,-0.035895046,-0.074555919,0.139093277,0.08661572,0.037534668,0.057148392,-0.13286218,0.109851605,-0.053885613,0.158380373,0.186576813,0.115384531,0.049882239
1.918316667,0.030061175,-0.147752241,0.066028671,-0.009651854,0.063051006,0.174140468,0.092052603,-0.046888818,0.013315225,-0.063849355,0.100772397,-0.008470604,0.135098614,0.253906946,0.089184601,0.068439919
1.946127778,0.029285416,-0.147121941,0.073858971,-0.032895461,-0.049442818,0.110718654,0.069313743,0.005719537,0.016877952,-0.056431452,0.063676386,-0.019676659,0.145115112,0.207476108,0.089807383,0.042917887
1.973936111,0.071104218,-0.106476998,0.066276391,-0.031378858,-0.009463976,0.1630124,0.046690606,0.026905555,0.025779652,-0.059420651,0.107308558,-0.045297216,0.158244901,0.130740396,0.114492935,0.037349025
2.001730556,0.064752236,-0.148681663,0.084851928,-0.020638838,0.035893966,0.189122458,0.071688403,-0.143183738,0.042190611,-0.048818696,0.091009191,-0.029381515,0.155737709,0.151260168,0.096900319,0.042752301
2.029538889,0.071591138,-0.150656691,0.080928233,-0.016886794,0.025127594,0.150410329,0.079777532,0.029906482,0.027016837,-0.092627587,0.34453591,-0.021140662,0.159709859,0.219701294,0.129660864,0.033586246
2.05735,0.045806014,-0.138686768,0.051938149,-0.030110808,0.16591189,0.166248451,0.078140598,0.037974308,-0.02796672,-0.030530859,0.182552743,-0.003030904,0.133456979,0.182634645,0.103322264,0.060152499
2.085152778,0.05359685,-0.096699132,0.075057506,-0.023485552,0.158241591,0.124425839,0.060448343,-0.010908723,0.02960852,-0.05562718,0.157201315,-0.011967915,0.138177947,0.183537072,0.109457072,0.067798008
2.112961111,0.043934674,-0.151885642,0.082473315,-0.052320677,0.149770053,0.045256845,0.078010796,-0.000353681,-0.0156202,-0.048102262,0.067040241,-0.027098489,0.135527736,0.135204414,0.109434845,0.065602654
2.140752778,0.043446209,-0.14563596,0.130419178,-0.019428717,-0.071603754,0.137005709,0.063918631,0.005827941,-0.034267077,-0.073028226,0.127551993,-0.061996338,0.14064704,0.195653692,0.121887184,0.064745164
2.168558333,0.042551331,-0.136307265,0.080711716,-0.052817081,-0.003914872,0.16946724,0.035595351,0.011602645,-0.040530184,-0.044475436,0.115774779,-0.027633511,0.143342584,0.192543701,0.08772207,0.063617067
2.196347222,0.044025476,-0.11350156,-0.006636669,-0.025455524,0.028549209,0.101191343,0.085247323,-0.037183577,0.035989717,-0.103616584,0.083512409,-0.005306077,0.134516726,0.162255028,0.146257588,0.047516132
2.22415,0.041930917,-0.148315835,0.059583723,-0.019816392,-0.017259862,0.148282723,0.063369442,-0.01068258,-0.06203634,-0.108106395,0.11648141,-0.019461628,0.116245867,0.172210539,0.071255263,0.053784852
2.251936111,0.046066635,-0.114413913,0.092656552,-0.04867738,-0.009326085,0.117730286,0.079107393,0.036425233,0.021859714,-0.072124349,0.074127593,-0.019101245,0.149819806,0.124170849,0.134198705,0.062939795
2.279725,0.039381012,-0.122942529,0.000811378,-0.024615542,0.024800308,0.129134267,0.090926867,0.042363321,0.034800555,-0.103658934,0.100501751,-0.028104591,0.12930959,0.199668099,0.128408252,0.056893811
2.307516667,0.042915455,-0.151173214,0.020556175,-0.024355226,0.006349654,0.102660841,0.099022711,0.025592728,0.009048478,-0.096494869,0.121668496,-0.017550359,0.154832524,0.111674182,0.126218157,0.062172488
2.335325,0.045965064,-0.102551805,0.066327395,-0.014225141,-0.013588976,0.135847354,0.105048246,-0.015725329,-0.004299173,-0.084594025,0.065200019,-0.045386118,0.135753538,0.119702843,0.1323696,0.059911463
2.363133333,0.050133102,-0.099324535,0.07595913,-0.074707123,-0.04244263,0.154898622,0.048836085,0.045744766,-0.021843466,-0.113925287,0.12570774,-0.055071897,0.143871748,0.144774291,0.120211396,0.059472826
2.390930556,0.047538861,-0.104954935,0.075999522,-0.039312749,0.001936515,0.125595857,0.05367493,0.039832052,0.027579356,-0.078603354,0.081020636,0.009118589,0.126424221,0.177254741,0.123423392,0.049228435
2.418719444,0.060296282,-0.14023705,0.01910367,-0.041328049,0.004484847,0.104520288,0.108328399,-0.024785911,0.007908943,-0.056495371,0.153485517,-0.035376678,0.124593357,0.120548273,0.115569058,0.067099813
2.446527778,0.064409575,-0.144312054,-0.072543941,-0.0585428,0.036379475,0.127220063,0.072138092,0.010323132,0.023892196,-0.091412394,0.132349519,-0.030353739,0.125041197,0.184066889,0.119146687,0.061737797
2.474338889,0.036585873,-0.096829742,0.072710031,-0.029403075,-0.008507112,0.162809805,0.060315646,6.45E-02,0.025082374,-0.068541968,0.112728513,-0.012925294,0.128320587,0.161913707,0.108073663,0.056673886
2.502130556,0.051827077,-0.131626744,0.054546953,-0.035380007,0.025500539,0.154451572,0.09083587,0.036052755,0.008570056,-0.113715888,0.105142807,-0.036946115,0.157066605,0.153251467,0.131332112,0.050152685
2.529933333,0.031586627,-0.140199415,0.05963693,-0.033046408,0.21885797,0.151468882,0.073908532,-0.033566235,0.016044073,-0.074881992,0.092025164,-0.025530019,0.143770234,0.145228934,0.12190297,0.054715364
2.557722222,0.028216226,-0.093905831,0.091521497,-0.067510781,0.241362668,0.132761025,0.040606605,-0.011277454,-0.034567502,-0.02609545,0.128877226,0.000457934,0.133676086,0.204743302,0.124031472,0.069374138
2.585530556,0.026978706,-0.145393618,0.054793424,-0.055932048,-0.313057105,0.14835928,0.091007609,0.040243223,0.034903502,-0.008122774,0.050051065,-0.028987815,0.129803292,0.236349277,0.10959666,0.088508924
2.613333333,0.026857978,-0.143642297,0.106732552,-0.079115424,0.31243765,0.109146313,0.041181645,0.068880078,0.030731808,-0.072248342,0.151165771,0.000813253,0.150613634,0.119577717,0.124140751,0.088220984
2.641133333,0.041226053,-0.10510922,0.106822552,-0.033791104,0.643713939,0.093210885,0.054017447,0.053532124,0.027302627,-0.078664398,0.113502416,-0.019795994,0.131452566,0.189109933,0.135810598,0.072409015
2.668922222,0.029768969,-0.145308421,0.145988059,-0.070468421,-0.247445823,0.180850336,0.117903338,0.026495519,-0.004726729,-0.037798003,0.031292269,-0.035420463,0.119720392,0.164492735,0.10619621,0.064001139
2.696713889,0.030107847,-0.144523452,0.074885362,-0.015015972,0.304347517,0.128861883,0.099061833,0.03351632,0.04534953,-0.016898208,0.02116983,-0.032628972,0.120669295,0.160865388,0.112930823,0.048043707
