Time,M0 - SGy103-10 - 0%,M1 - SGy103-16 - 0%,M2 - SGy103-10 - 1%,M3 - SGy103-16 - 1%,M4 - SGy103-10 - 10%,M5 - SGy103-16 - 10%,M6 - SGy103-10 - 100%,M7 - SGy103-16 - 100%
1.723811111,-0.006852441,0.058721347,0.0643255,0.044907999,0.149894975,0.054567344,0.128943459,-0.156739572
1.751597222,0.008993683,0.047616168,0.047990251,0.05345704,0.113842263,0.043762494,-0.055015234,-0.11416043
1.779408333,0.02153275,0.050219122,0.05728039,0.04802658,0.134215946,0.057558416,0.129801828,-0.107081166
1.807216667,-0.01818859,-0.005898565,0.047717929,0.046534226,0.056981918,0.1743596,0.056844024,-0.021880621
1.835002778,0.071782588,0.004129419,0.044896023,0.052655597,0.109452074,0.076004942,0.073510674,-0.01604671
1.862797222,-0.002502314,0.055430025,0.041920677,0.045918926,0.137253577,0.024564748,0.053974414,0.020863681
1.890605556,0.009795707,0.085624004,0.037576207,0.051239558,0.090012548,0.189018932,0.073317539,0.075333544
1.918394444,0.011718139,0.014062816,0.035675183,0.048396089,0.116887946,0.060120114,0.031102835,0.074517826
1.946191667,-0.029224353,0.009275402,0.039150244,0.054801098,0.096433685,0.059545894,0.040593224,-0.148314875
1.973977778,0.015148671,0.047127879,0.052495328,4.76E-02,0.141008668,0.036308626,0.053708147,0.052115111
2.001775,-0.034231837,0.002027149,0.052968593,0.05103796,0.109854073,0.026938155,0.112733847,0.167556875
2.029563889,-0.009075463,-0.007168672,0.050204018,0.04850769,0.111571802,0.030432838,0.05714554,-0.125069865
2.057369444,0.070364864,-0.005119486,0.053829759,0.053652403,0.112938568,0.095343233,0.193985616,0.015100887
2.085175,0.056541024,0.011422273,0.045578587,0.055585306,0.107322038,0.082312482,0.034784451,-0.149791873
2.112988889,0.062179068,-0.016164737,0.063469322,0.050941339,0.116112907,0.074287188,0.057760155,-0.052373137
2.140794444,0.068425493,0.01029583,0.053441451,0.052427782,1.13E-01,0.098893799,0.02051056,-0.067309028
2.168605556,0.038658554,0.031701276,0.041758564,0.052753278,0.118735646,0.085387138,-0.096745283,-0.187578874
2.196413889,0.057965161,-0.062934765,0.066403991,0.052872555,0.100401539,0.113253325,0.099940199,-0.156986512
2.224219444,0.052580666,-0.012551584,0.06149223,0.057478706,0.114064073,0.079221006,0.056745133,-0.101647785
2.252008333,0.088623655,-0.027843792,0.046690131,0.051917658,0.134046896,0.044329477,-0.067071769,-0.091247091
2.279797222,0.054754651,-0.0072212,0.048236829,0.05682931,0.101113916,0.124247282,0.040581088,-0.033229232
2.307608333,0.059403922,0.020122087,0.075497184,0.050424595,0.070915976,0.097820732,0.150927395,-0.000769271
2.335416667,0.017940072,-0.036614644,0.04241498,0.054747096,0.111684957,0.105292173,0.02852377,-0.066744307
2.363233333,0.089923565,-0.006434004,0.053986362,0.055037117,0.112073557,0.081588844,0.029129768,0.021475573
2.391036111,0.075041442,-0.023740674,0.055917736,0.059071787,0.100622786,0.015822987,0.019944406,-0.120473773
2.418833333,0.068898376,-0.031357234,0.063413985,0.056934668,0.104004457,0.047294499,0.047179961,0.008268511
2.446625,0.033196348,0.002388773,0.067789079,0.058712349,0.08483134,0.133196331,0.04821024,-0.084273245
2.474438889,2.32E-02,-0.006047923,0.038169428,0.057027469,0.112154906,0.070520002,-0.004376025,-0.161178831
2.502247222,-0.010752591,-0.022601231,0.071324128,0.060242814,0.114254579,0.066295871,0.05652256,-0.16051751
2.530052778,0.005844487,-2.50E-02,0.059039147,0.064184948,0.11470322,0.08046966,0.099278364,-0.062948926
2.557852778,0.032146556,0.002243767,0.073074548,0.064476815,0.112209803,0.139939297,0.044302612,-0.131634691
2.585638889,0.083334485,-0.027577369,0.053802009,0.057444879,0.082229287,0.052627022,0.054506032,-0.092815837
2.613452778,-0.000122823,0.016349622,0.063502458,0.065995132,0.097656538,0.111582091,0.015792065,0.052129883
2.641258333,0.036628623,-0.033532376,0.066803756,0.06490239,0.084765432,0.104263526,0.094799074,-0.048017116
2.669069444,0.053110734,-0.021315484,0.039367711,0.062393889,0.154686839,0.090399263,0.041054955,-0.120318583
2.696861111,-0.032144449,0.008015769,0.027484378,0.06243172,0.09392532,0.076323673,0.012664023,-0.066017751
2.724663889,0.010116792,0.003035186,0.052004629,0.062631923,0.096481029,0.077513351,0.038742929,0.018990745
2.752469444,-0.001450517,-0.027070833,0.058438225,0.067717766,0.102895469,0.077306148,0.05536426,-0.066606089
2.780266667,0.0175544,0.011462122,0.033833059,0.065474056,0.122345907,0.080952509,0.027769894,-0.08556643
2.808061111,0.063859287,0.054802162,0.061820527,0.0714348,0.120450881,0.113552794,0.06348389,-0.06905653
2.835858333,0.078745172,0.004271498,0.073524052,0.068126491,0.09898776,0.080958673,0.020665707,-0.074368478
2.863669444,0.057198002,-6.52E-03,0.074898097,0.066879294,0.146980588,0.13169418,0.072047523,-0.083662524
2.891477778,0.060077117,-0.026836113,0.069183456,0.122054809,0.150576892,0.145054687,0.018901479,-0.143064393
2.919272222,0.028150092,-0.028110559,0.0654891,0.101955309,0.115030751,0.082300236,0.02911356,-0.113366403
2.947077778,-0.040637944,-0.02097919,0.044353142,0.0939556,0.084776175,0.064087242,0.160459903,-0.098425253
2.974880556,0.081109654,0.004394834,0.057522607,0.120651295,0.117769506,0.084257729,0.031669358,-0.09464896
3.002669444,0.016464123,-0.048737614,0.073126373,0.099732991,0.126427825,0.083813478,0.023848665,-0.093246379
3.030461111,0.008549655,0.026761492,0.060012655,0.119686084,0.099654392,0.080190023,0.117411721,-0.104139702
3.058275,0.030054039,-0.011315303,0.056281196,0.126963837,0.144889685,0.091572468,0.056778278,-0.101794509
3.086080556,0.009279792,0.005997618,0.065438827,0.102045933,0.114051606,0.226630268,0.090174156,-0.067197338
3.113869444,0.043210171,0.003862538,0.058975366,0.096434383,0.103188305,0.088812107,0.03198197,-0.055769536
3.141680556,0.018385511,0.019312755,0.023851125,0.121038295,0.120950063,0.084614948,0.054825459,-0.100580943
3.169486111,0.034918164,-0.022253073,0.055405937,0.10201029,0.103280848,0.092256322,-0.011643997,-0.079459302
3.197286111,0.016331108,-0.015189965,0.053771145,0.081880961,0.129355747,0.118673753,0.041390408,-0.072100998
3.225097222,0.033265586,0.0088861,0.06098253,0.083410025,0.124530455,0.078992266,0.080728749,-0.090571232
3.252886111,0.017044354,-0.018449504,0.047507923,0.081545622,0.080690597,0.080394848,-0.004308094,-0.091640523
3.280675,0.012159559,-0.012029859,0.077447529,0.056461928,0.088500665,0.148454377,0.047715298,-0.081266906
3.308486111,0.026266721,-0.011821709,0.098388209,0.05635116,0.076442718,0.079129829,0.047107936,-0.100310684
3.336297222,0.035731493,-0.033009158,0.081938206,0.052691841,0.141864875,0.081480977,0.017533477,-0.091231649
3.364094444,0.035904838,0.010480503,0.07770632,0.067734071,0.157368403,0.101529944,0.038660466,-0.061745519
3.391902778,0.027925617,0.008621763,0.067336273,0.067320459,0.146705461,0.102143358,0.152276116,-0.076778992
3.419691667,-0.006029672,-0.014979801,0.065407104,0.085782209,0.160576852,0.160889546,0.051166802,-0.09323076
3.447502778,0.044800674,-0.010940868,0.054915468,0.103347095,0.134250995,0.126684685,0.090994765,-0.075024563
3.475305556,-0.016503269,0.014248419,0.073659917,0.110210333,0.119312327,0.098684136,0.08585415,-0.098458986
